case_celebrity,season,week,quality_score,competitor_name,score,judge_pct,audience_pct,combined_pct,judge_rank,combined_rank,normalized_intensity,estimated_votes_min,estimated_votes_max,is_final_reached
David Ross,24,5,144.44444444444446,Heather Morris,34.0,0.1118421052631579,0.1130952360347254,0.2249373412978833,4.5,12.5,0.11309523603472543,1187499.978364617,23749999.56729234,False
David Ross,24,5,144.44444444444446,Nancy Kerrigan,36.0,0.1184210526315789,0.1137558659797675,0.2321769186113464,3.0,9.0,0.11375586597976754,1194436.5927875591,23888731.855751183,False
David Ross,24,5,144.44444444444446,Bonner Bolton,30.0,0.0986842105263157,0.1289535569361897,0.2276377674625055,8.0,11.0,0.1289535569361897,1354012.347829992,27080246.95659984,False
David Ross,24,5,144.44444444444446,Simone Biles,38.0,0.125,0.1132576695137031,0.2382576695137031,2.0,9.0,0.11325766951370311,1189205.5298938826,23784110.597877655,False
David Ross,24,5,144.44444444444446,David Ross,29.0,0.0953947368421052,0.1431441353057296,0.2385388721478348,9.0,10.0,0.1431441353057296,1503013.4207101606,30060268.41420321,True
David Ross,24,5,144.44444444444446,Rashad Jennings,32.0,0.1052631578947368,0.1338537480904259,0.2391169059851627,6.5,8.5,0.1338537480904259,1405464.354949472,28109287.098989442,True
David Ross,24,5,144.44444444444446,Erika Jayne,32.0,0.1052631578947368,0.0089068790220831,0.11417003691682,6.5,15.5,0.008906879022083158,93522.22973187316,1870444.594637463,False
David Ross,24,5,144.44444444444446,Normani,39.0,0.1282894736842105,0.1249525784585492,0.2532420521427597,1.0,5.0,0.12495257845854921,1312002.0738147667,26240041.476295333,True
David Ross,24,5,144.44444444444446,Nick Viall,34.0,0.1118421052631579,0.1200803306588264,0.2319224359219843,4.5,9.5,0.12008033065882641,1260843.4719176772,25216869.438353546,False
Bill Engvall,17,6,143.75,Brant Daugherty,31.0,0.13419959895965,0.1166130354214533,0.2508126343811034,3.0,11.0,0.11661303542145338,1795257.6803132747,35905153.60626549,False
Bill Engvall,17,6,143.75,Elizabeth Berkley Lauren,31.9998,0.1385277524770648,0.1209595896159002,0.2594873420929651,2.0,8.0,0.12095958961590028,1862172.8821367847,37243457.6427357,False
Bill Engvall,17,6,143.75,Leah Remini,27.9999,0.1212121080938808,0.1217149415964018,0.2429270496902826,5.0,10.0,0.12171494159640181,1873801.5258766059,37476030.51753212,False
Bill Engvall,17,6,143.75,Corbin Bleu,26.9999,0.1168830887726018,0.1310913825160565,0.2479744712886583,6.0,8.0,0.13109138251605654,2018151.8338346903,40363036.676693805,True
Bill Engvall,17,6,143.75,Amber Riley,31.9999,0.1385281853789969,0.1279991578036008,0.2665273431825978,1.0,5.0,0.12799915780360088,1970547.0343864355,39410940.68772871,True
Bill Engvall,17,6,143.75,Bill Engvall,23.9999,0.1038960308087647,0.1365337143620549,0.2404297451708196,8.0,9.0,0.13653371436205497,2101936.532603836,42038730.65207673,True
Bill Engvall,17,6,143.75,"Nicole ""Snooki"" Polizzi",30.0,0.129870579638371,0.116989077463617,0.2468596571019881,4.0,11.0,0.11698907746361707,1801046.8475523847,36020936.951047696,False
Bill Engvall,17,6,143.75,Jack Osbourne,26.9998,0.1168826558706696,0.1280991012209151,0.2449817570915848,7.0,10.0,0.12809910122091514,1972085.6632959887,39441713.265919775,True
